address*;netmask*;description;comment;source_lease_activity;dest_lease_activity;dhcp_members;active;static;network_view;dest_dhcp_members;IPAM_Data_Source;dest_network_view
10.133.23.0;255.255.255.0;10.133.23.0/24;Scm_HFS42_HFS50_WLAN;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;90;;default;;;
10.133.25.0;255.255.255.0;10.133.25.0/24;Scm_HFS50_Office;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;35;;default;;;
10.133.26.0;255.255.254.0;10.133.26.0/23;Scm_HFS42_Office;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;85;;default;;;
10.133.36.0;255.255.255.0;10.133.36.0/24;Scm_HFS31_Office;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;23;;default;;;
10.133.126.0;255.255.255.0;10.133.126.0/24;EG_Cao2_Cairo_PATec;yes;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;35;;default;;;
10.133.130.0;255.255.255.0;10.133.130.0/24;IP-range assigned by OSN2;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;48;;default;;;
10.133.208.0;255.255.254.0;10.133.208.0/23;Location Network;yes;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;9;;default;;;
10.133.224.0;255.255.252.0;10.133.224.0/22;DE_Kbr_Office;yes;;wa2-ddi-003.patec.group,bng-ddi-000.patec.group;149;;default;;;
10.133.234.0;255.255.255.0;10.133.234.0/24;Office-WLAN;yes;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;71;;default;;;
10.162.30.0;255.255.254.0;10.162.30.0/23;Location Network;yes;;mus2-ddi-000.patec.group,wa2-ddi-003.patec.group;17;;default;;;
10.162.38.0;255.255.255.0;10.162.38.0/24;PA_Mus2_esz-msw;yes;;mus2-ddi-000.patec.group,wa2-ddi-003.patec.group;24;;default;;;
10.162.42.0;255.255.254.0;10.162.42.0/23;PA_Mus2_Office;yes;;wa2-ddi-003.patec.group,mus2-ddi-000.patec.group;119;;default;;;
10.162.45.0;255.255.255.0;10.162.45.0/24;PA_Mus2_WLAN_Office;yes;;wa2-ddi-003.patec.group,mus2-ddi-000.patec.group;116;;default;;;
10.167.3.0;255.255.255.0;10.167.3.0/24;ShopFloor_VLAN;yes;;wa2-ddi-003.patec.group,mus2-ddi-000.patec.group;32;;default;;;
10.167.4.0;255.255.254.0;10.167.4.0/23;Office_GF_VLAN;yes;;wa2-ddi-003.patec.group,mus2-ddi-000.patec.group;54;;default;;;
10.167.6.0;255.255.254.0;10.167.6.0/23;Office_1F_VLAN;yes;;mus2-ddi-000.patec.group,wa2-ddi-003.patec.group;30;;default;;;
10.167.12.0;255.255.254.0;10.167.12.0/23;*** OFF-WLAN VLAN ***;yes;;mus2-ddi-000.patec.group,wa2-ddi-003.patec.group;89;;default;;;
10.167.14.0;255.255.255.0;10.167.14.0/24;*** Prod-WLAN VLAN ***;yes;;wa2-ddi-003.patec.group,mus2-ddi-000.patec.group;8;;default;;;
10.177.0.0;255.255.254.0;10.177.0.0/23;CN_Hz2_Hangzhou 201 3rd floor;yes;;hz2-ddi-000.patec.group,mus2-ddi-000.patec.group;30;;default;;;
10.177.2.0;255.255.254.0;10.177.2.0/23;CN_Hz2_Hangzhou;yes;;mus2-ddi-000.patec.group,hz2-ddi-000.patec.group;27;;default;;;
10.177.4.0;255.255.254.0;10.177.4.0/23;CN_Hz2_Hangzhou;yes;;hz2-ddi-000.patec.group,mus2-ddi-000.patec.group;24;;default;;;
10.177.6.0;255.255.255.0;10.177.6.0/24;Asia-Pacific Triaden Adr-Konzept;yes;;hz2-ddi-000.patec.group,mus2-ddi-000.patec.group;109;;default;;;
10.188.54.0;255.255.254.0;10.188.54.0/23;Office;yes;;wa2-ddi-003.patec.group,mus2-ddi-000.patec.group;4;;default;;;
10.192.48.0;255.255.254.0;10.192.48.0/23;;yes;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;20;;default;;;
10.192.55.128;255.255.255.192;10.192.55.128/26;HU_Pec_Pecel;yes;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;15;;default;;;
10.192.65.0;255.255.255.0;10.192.65.0/24;Server Network;no;;bng-ddi-000.patec.group,wa2-ddi-003.patec.group;;;default;;;
